,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,12,FP1,0,3.052,a,S1 obj,0,co2a0000364,0.0
6,12,FP1,1,4.517,a,S1 obj,0,co2a0000364,0.00390625
7,12,FP1,2,4.028,a,S1 obj,0,co2a0000364,0.0078125
8,12,FP1,3,4.028,a,S1 obj,0,co2a0000364,0.01171875
9,12,FP1,4,4.517,a,S1 obj,0,co2a0000364,0.015625
10,12,FP1,5,5.493,a,S1 obj,0,co2a0000364,0.01953125
11,12,FP1,6,5.493,a,S1 obj,0,co2a0000364,0.0234375
12,12,FP1,7,4.517,a,S1 obj,0,co2a0000364,0.02734375
13,12,FP1,8,3.052,a,S1 obj,0,co2a0000364,0.03125
14,12,FP1,9,2.075,a,S1 obj,0,co2a0000364,0.03515625
15,12,FP1,10,3.54,a,S1 obj,0,co2a0000364,0.0390625
16,12,FP1,11,6.47,a,S1 obj,0,co2a0000364,0.04296875
17,12,FP1,12,8.423,a,S1 obj,0,co2a0000364,0.046875
18,12,FP1,13,8.423,a,S1 obj,0,co2a0000364,0.05078125
19,12,FP1,14,5.981,a,S1 obj,0,co2a0000364,0.0546875
20,12,FP1,15,2.563,a,S1 obj,0,co2a0000364,0.05859375
21,12,FP1,16,0.61,a,S1 obj,0,co2a0000364,0.0625
22,12,FP1,17,0.61,a,S1 obj,0,co2a0000364,0.06640625
23,12,FP1,18,2.075,a,S1 obj,0,co2a0000364,0.0703125
24,12,FP1,19,3.052,a,S1 obj,0,co2a0000364,0.07421875
25,12,FP1,20,3.052,a,S1 obj,0,co2a0000364,0.078125
26,12,FP1,21,2.563,a,S1 obj,0,co2a0000364,0.08203125
27,12,FP1,22,2.563,a,S1 obj,0,co2a0000364,0.0859375
28,12,FP1,23,3.052,a,S1 obj,0,co2a0000364,0.08984375
29,12,FP1,24,3.54,a,S1 obj,0,co2a0000364,0.09375
30,12,FP1,25,2.075,a,S1 obj,0,co2a0000364,0.09765625
31,12,FP1,26,0.122,a,S1 obj,0,co2a0000364,0.1015625
32,12,FP1,27,-2.808,a,S1 obj,0,co2a0000364,0.10546875
33,12,FP1,28,-3.784,a,S1 obj,0,co2a0000364,0.109375
34,12,FP1,29,-2.808,a,S1 obj,0,co2a0000364,0.11328125
35,12,FP1,30,-0.854,a,S1 obj,0,co2a0000364,0.1171875
36,12,FP1,31,1.099,a,S1 obj,0,co2a0000364,0.12109375
37,12,FP1,32,2.075,a,S1 obj,0,co2a0000364,0.125
38,12,FP1,33,2.563,a,S1 obj,0,co2a0000364,0.12890625
39,12,FP1,34,1.587,a,S1 obj,0,co2a0000364,0.1328125
40,12,FP1,35,0.61,a,S1 obj,0,co2a0000364,0.13671875
41,12,FP1,36,-0.366,a,S1 obj,0,co2a0000364,0.140625
42,12,FP1,37,-0.854,a,S1 obj,0,co2a0000364,0.14453125
43,12,FP1,38,0.122,a,S1 obj,0,co2a0000364,0.1484375
44,12,FP1,39,1.587,a,S1 obj,0,co2a0000364,0.15234375
45,12,FP1,40,4.517,a,S1 obj,0,co2a0000364,0.15625
46,12,FP1,41,5.981,a,S1 obj,0,co2a0000364,0.16015625
47,12,FP1,42,4.028,a,S1 obj,0,co2a0000364,0.1640625
48,12,FP1,43,-0.366,a,S1 obj,0,co2a0000364,0.16796875
49,12,FP1,44,-4.761,a,S1 obj,0,co2a0000364,0.171875
50,12,FP1,45,-6.714,a,S1 obj,0,co2a0000364,0.17578125
51,12,FP1,46,-5.249,a,S1 obj,0,co2a0000364,0.1796875
52,12,FP1,47,-1.831,a,S1 obj,0,co2a0000364,0.18359375
53,12,FP1,48,0.61,a,S1 obj,0,co2a0000364,0.1875
54,12,FP1,49,0.61,a,S1 obj,0,co2a0000364,0.19140625
55,12,FP1,50,-1.831,a,S1 obj,0,co2a0000364,0.1953125
56,12,FP1,51,-3.296,a,S1 obj,0,co2a0000364,0.19921875
57,12,FP1,52,-2.808,a,S1 obj,0,co2a0000364,0.203125
58,12,FP1,53,-1.343,a,S1 obj,0,co2a0000364,0.20703125
59,12,FP1,54,-1.831,a,S1 obj,0,co2a0000364,0.2109375
60,12,FP1,55,-4.761,a,S1 obj,0,co2a0000364,0.21484375
61,12,FP1,56,-9.644,a,S1 obj,0,co2a0000364,0.21875
62,12,FP1,57,-13.062,a,S1 obj,0,co2a0000364,0.22265625
63,12,FP1,58,-12.573,a,S1 obj,0,co2a0000364,0.2265625
64,12,FP1,59,-9.644,a,S1 obj,0,co2a0000364,0.23046875
65,12,FP1,60,-5.737,a,S1 obj,0,co2a0000364,0.234375
66,12,FP1,61,-3.296,a,S1 obj,0,co2a0000364,0.23828125
67,12,FP1,62,-4.272,a,S1 obj,0,co2a0000364,0.2421875
68,12,FP1,63,-7.202,a,S1 obj,0,co2a0000364,0.24609375
69,12,FP1,64,-9.155,a,S1 obj,0,co2a0000364,0.25
70,12,FP1,65,-9.644,a,S1 obj,0,co2a0000364,0.25390625
71,12,FP1,66,-7.69,a,S1 obj,0,co2a0000364,0.2578125
72,12,FP1,67,-4.272,a,S1 obj,0,co2a0000364,0.26171875
73,12,FP1,68,-1.831,a,S1 obj,0,co2a0000364,0.265625
74,12,FP1,69,-0.854,a,S1 obj,0,co2a0000364,0.26953125
75,12,FP1,70,-2.319,a,S1 obj,0,co2a0000364,0.2734375
76,12,FP1,71,-4.272,a,S1 obj,0,co2a0000364,0.27734375
77,12,FP1,72,-5.249,a,S1 obj,0,co2a0000364,0.28125
78,12,FP1,73,-4.761,a,S1 obj,0,co2a0000364,0.28515625
79,12,FP1,74,-2.808,a,S1 obj,0,co2a0000364,0.2890625
80,12,FP1,75,-1.343,a,S1 obj,0,co2a0000364,0.29296875
